Name,Origin,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body (Cupping),Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body (Flavor),Total Score
Kenya Nyeri Kianjogu AA,East Africa,Wet Process Kenya Type,0.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,8.8,9.1,9.2,9.0,8.8,8.7,8.6,8.7,9.3,8.5,88.69999999999999
Kenya Nyeri Kiruga AA,East Africa,Wet Process,1.0,2.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,9.0,9.5,9.4,9.2,8.5,9.1,8.9,9.0,9.3,9.0,90.89999999999999
Kenya Nyeri Othaya Gura,East Africa,Wet Process,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,9.0,9.4,9.3,9.3,8.9,9.2,8.7,9.0,9.4,8.5,90.7
Kenya Nyeri Rukira AB,East Africa,Wet Process Kenya Type,0.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,4.0,8.7,9.2,9.0,9.5,8.8,9.2,8.8,8.5,9.4,8.5,89.60000000000001
Kenya Nyeri Thageini AA,East Africa,Wet Process Kenya Type,0.0,2.0,3.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,9.3,9.5,9.6,9.5,8.8,9.2,8.8,8.3,9.5,8.5,91.0
Costa Rica Don Oscar Limones,South America,Machine Washed,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,8.3,8.6,8.2,8.6,8.8,8.5,8.5,9.0,8.0,8.5,85.0
Kenya Nyeri Thageini Peaberry,East Africa,Wet Process Kenya Type,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,8.6,8.7,8.5,8.8,9.0,8.3,8.6,8.0,9.1,8.5,86.1
Kenya Nyeri Thuti Peaberry,East Africa,Wet Process Kenya Type,0.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,9.0,8.7,8.9,9.2,8.8,8.9,8.6,8.2,9.4,8.5,88.2
Kenya Othaya Gura AB,East Africa,Wet Process Kenya Type,0.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,9.1,9.3,9.3,9.2,8.8,8.8,8.8,8.6,9.3,8.5,89.69999999999999
Kenya Othaya Mahiga Peaberry,East Africa,Wet Process,0.0,1.0,4.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,4.0,9.0,9.4,9.1,9.3,8.9,9.1,9.0,9.0,9.7,9.0,91.5
